time,latitude,longitude,depth,mag,magType,gap,dmin,rms,net,updated,place
2014-08-13T22:51:28.580Z,33.8491,131.8946,81.37,4.5,mb,77,1.115,0.48,us,2014-09-07T03:01:29.715Z,"12km SSW of Hikari, Japan"
2014-08-13T00:40:40.370Z,42.3663,142.7468,35,4.5,mb,100,0.465,0.89,us,2014-08-13T08:43:15.624Z,"31km E of Shizunai, Japan"
2014-08-12T20:34:14.230Z,31.663,142.3169,18.25,4.6,mb,128,2.565,0.61,us,2014-08-13T15:56:27.000Z,"284km ESE of Hachijo-jima, Japan"
2014-08-12T03:54:43.990Z,36.9711,141.3956,46.9,4.2,mb,128,2.594,0.75,us,2014-09-10T01:00:25.109Z,"46km E of Iwaki, Japan"
2014-08-12T00:47:22.360Z,34.2586,140.3887,86.63,4.7,mb,121,1.237,0.68,us,2014-09-01T06:38:55.652Z,"93km SSE of Tateyama, Japan"
2014-08-11T21:40:43.170Z,27.7392,143.0255,27.33,4.5,mb,162,0.984,0.66,us,2014-09-07T04:44:11.304Z,"108km NE of Chichi-shima, Japan"
2014-08-11T03:42:06.640Z,28.0634,127.9827,68.51,4.2,mb,134,5.627,0.76,us,2014-09-03T00:33:20.766Z,"151km WSW of Naze, Japan"
2014-08-10T22:39:37.460Z,27.8239,142.8172,30.67,5.1,mb,26,0.917,0.59,us,2014-09-09T22:21:07.821Z,"101km NE of Chichi-shima, Japan"
2014-08-10T03:43:17.130Z,41.1626,142.1761,41,6,mb,49,2.97,0.91,us,2014-09-04T15:53:08.000Z,"81km E of Mutsu, Japan"
2014-08-09T23:02:25.670Z,26.2074,143.6614,10,4.6,mb,63,1.59,0.9,us,2014-09-07T21:53:14.053Z,"173km SE of Chichi-shima, Japan"
2014-08-09T05:49:38.240Z,38.8419,142.0551,68.23,4.4,mb,155,3.279,0.89,us,2014-09-05T11:29:57.579Z,"38km SE of Ofunato, Japan"
2014-08-09T02:28:43.880Z,27.8011,142.9527,10,5.2,mb,87,0.979,0.87,us,2014-08-09T10:31:21.435Z,"107km NE of Chichi-shima, Japan"
2014-08-08T05:47:08.750Z,40.198,143.4825,37.18,4.5,mb,135,1.831,1.24,us,2014-08-21T11:43:29.855Z,"144km ENE of Miyako, Japan"
2014-08-07T21:47:36.100Z,26.3584,141.7795,35.19,4.7,mb,106,0.818,0.86,us,2014-09-06T05:14:39.220Z,"91km SSW of Chichi-shima, Japan"
2014-08-06T22:15:24.120Z,31.1305,132.2681,49.12,4.2,mb,124,2.312,0.65,us,2014-09-05T02:53:27.934Z,"100km ESE of Nichinan, Japan"
2014-08-06T15:12:04.020Z,38.8807,142.2074,55.53,4.5,mb,200,3.213,0.66,us,2014-08-06T23:14:58.730Z,"47km ESE of Ofunato, Japan"
2014-08-05T17:41:58.200Z,28.0264,128.0485,35.94,4.4,mb,123,1.202,0.91,us,2014-09-04T21:08:40.227Z,"145km WSW of Naze, Japan"
2014-08-05T16:17:25.130Z,34.9988,135.5385,27.01,4.4,mb,58,1.27,0.69,us,2014-09-10T14:28:15.351Z,"4km W of Kameoka, Japan"
2014-08-05T13:48:49.680Z,40.6281,142.3517,56.69,4.3,mb,127,1.512,0.97,us,2014-09-10T14:25:12.523Z,"73km ENE of Hachinohe, Japan"
2014-08-05T08:45:11.420Z,28.0045,128.1821,54.06,4.2,mb,148,5.607,0.88,us,2014-09-04T13:54:40.054Z,"133km WSW of Naze, Japan"
2014-08-04T19:36:36.900Z,32.5859,140.683,69.18,4.7,mb,124,0.902,0.56,us,2014-09-09T20:11:56.292Z,"99km ESE of Hachijo-jima, Japan"
2014-08-04T13:39:14.110Z,27.755,127.8853,10,4.4,mb,139,5.942,0.61,us,2014-09-10T14:20:26.719Z,"129km N of Nago, Japan"
2014-08-04T05:58:21.380Z,39.2282,142.1889,35,4.7,mb,135,2.879,1.35,us,2014-09-09T06:01:17.843Z,"26km E of Kamaishi, Japan"
2014-08-03T22:56:26.470Z,29.0673,142.5737,25.14,4.4,mb,118,1.994,0.56,us,2014-09-07T21:40:29.050Z,"222km N of Chichi-shima, Japan"
2014-08-03T20:15:58.590Z,23.0352,143.0557,50,4.8,mb,79,4.119,1.06,us,2014-09-06T14:40:34.965Z,"261km SE of Iwo Jima, Japan"
2014-08-03T18:08:28.820Z,36.7006,142.0208,32.03,4.5,mb,128,3.07,1.16,us,2014-09-06T14:06:31.032Z,"108km ESE of Iwaki, Japan"
2014-08-03T15:38:58.010Z,25.947,126.8999,65.12,4.4,mb,130,3.818,0.53,us,2014-09-07T15:43:02.412Z,"79km WSW of Itoman, Japan"
2014-08-03T14:40:38.700Z,27.4979,129.9147,25.66,4.5,mb,138,5.669,0.7,us,2014-09-04T20:43:16.897Z,"105km SSE of Naze, Japan"
2014-08-03T04:49:31.360Z,28.1099,128.1395,74.84,4.1,mb,129,5.527,0.93,us,2014-09-04T05:47:40.657Z,"134km WSW of Naze, Japan"
2014-08-03T04:06:03.760Z,28.0479,128.0638,10,5.7,mwb,23,1.221,0.89,us,2014-09-04T22:14:21.107Z,"143km WSW of Naze, Japan"
2014-08-03T00:54:56.780Z,37.9046,142.4167,57.93,4.5,mb,131,3.623,1.09,us,2014-08-31T01:04:08.723Z,"113km ESE of Ishinomaki, Japan"
2014-08-02T20:44:09.160Z,28.0132,127.7893,67.89,4.1,mb,121,5.556,0.68,us,2014-08-30T01:02:13.000Z,"158km N of Nago, Japan"
